run_label,params_short,params_json,n_estimators,softmax_temperature,average_before_softmax,balance_probabilities
grid_001,average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-0.6,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",4,0.6,True,True
grid_002,average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-0.6,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",4,0.6,True,False
grid_003,average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-0.6,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",4,0.6,False,True
grid_004,average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-0.6,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",4,0.6,False,False
grid_005,average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-0.8,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",4,0.8,True,True
grid_006,average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-0.8,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",4,0.8,True,False
grid_007,average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-0.8,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",4,0.8,False,True
grid_008,average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-0.8,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",4,0.8,False,False
grid_009,average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.0,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",4,1.0,True,True
grid_010,average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.0,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",4,1.0,True,False
grid_011,average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-1.0,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",4,1.0,False,True
grid_012,average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-1.0,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",4,1.0,False,False
grid_013,average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.2,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",4,1.2,True,True
grid_014,average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.2,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",4,1.2,True,False
grid_015,average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-1.2,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",4,1.2,False,True
grid_016,average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-1.2,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",4,1.2,False,False
grid_017,average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.4,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",4,1.4,True,True
grid_018,average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.4,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",4,1.4,True,False
grid_019,average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-1.4,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",4,1.4,False,True
grid_020,average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-1.4,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",4,1.4,False,False
grid_021,average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-0.6,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",8,0.6,True,True
grid_022,average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-0.6,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",8,0.6,True,False
grid_023,average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-0.6,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",8,0.6,False,True
grid_024,average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-0.6,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",8,0.6,False,False
grid_025,average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-0.8,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",8,0.8,True,True
grid_026,average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-0.8,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",8,0.8,True,False
grid_027,average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-0.8,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",8,0.8,False,True
grid_028,average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-0.8,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",8,0.8,False,False
grid_029,average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.0,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",8,1.0,True,True
grid_030,average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.0,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",8,1.0,True,False
grid_031,average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.0,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",8,1.0,False,True
grid_032,average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.0,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",8,1.0,False,False
grid_033,average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.2,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",8,1.2,True,True
grid_034,average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.2,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",8,1.2,True,False
grid_035,average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.2,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",8,1.2,False,True
grid_036,average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.2,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",8,1.2,False,False
grid_037,average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.4,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",8,1.4,True,True
grid_038,average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.4,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",8,1.4,True,False
grid_039,average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.4,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",8,1.4,False,True
grid_040,average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.4,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",8,1.4,False,False
