variant_name,scope,evaluation_name,target,actual_col,score_name,threshold,threshold_source,rows,actual_positives,predicted_positives,precision,recall,f1,roc_auc,average_precision
standard,overall,top5_native_0_5,top5,actual_top5,p_top5_raw,0.5,native_0_5,17802,556,2352,0.1254251700680272,0.5305755395683454,0.202888583218707,0.8036057469691649,0.1977061969122859
standard,overall,top10_native_0_5,top10,actual_top10,p_top10_raw,0.5,native_0_5,17802,1104,2918,0.19773817683344758,0.5226449275362319,0.28692192938836397,0.7747213499490524,0.23745649510743835
standard,overall,top20_native_0_5,top20,actual_top20,p_top20_raw,0.5,native_0_5,17802,2205,3689,0.3046896177825969,0.509750566893424,0.3814048184594503,0.7557036740451134,0.3599161248740884
standard,overall,frank_hall_top10_native_0_5,top10,actual_top10,score_topk_raw_sum,0.5,native_0_5,17802,1104,9711,0.09865101431366492,0.8677536231884058,0.17716134997688396,0.780478135887141,0.24592142336016024
standard,overall,frank_hall_top10_validated_threshold,top10,actual_top10,score_topk_raw_sum,2.1,optimized_valid_2023_f1,17802,1104,1232,0.2775974025974026,0.30978260869565216,0.2928082191780822,0.780478135887141,0.24592142336016024
standard,year_2024,top5_native_0_5,top5,actual_top5,p_top5_raw,0.5,native_0_5,8933,284,1146,0.1300174520069808,0.5246478873239436,0.2083916083916084,0.7944637416358482,0.20734720303849305
standard,year_2024,top10_native_0_5,top10,actual_top10,p_top10_raw,0.5,native_0_5,8933,567,1419,0.20155038759689922,0.5044091710758377,0.2880161127895267,0.7699903152130422,0.2529232531341619
standard,year_2024,top20_native_0_5,top20,actual_top20,p_top20_raw,0.5,native_0_5,8933,1135,1842,0.31541802388707924,0.5118942731277533,0.3903258313738663,0.7593925020873984,0.3940108262778643
standard,year_2024,frank_hall_top10_native_0_5,top10,actual_top10,score_topk_raw_sum,0.5,native_0_5,8933,567,4753,0.101620029455081,0.8518518518518519,0.18157894736842106,0.7738189050245787,0.2598999009430689
standard,year_2024,frank_hall_top10_validated_threshold,top10,actual_top10,score_topk_raw_sum,2.1,optimized_valid_2023_f1,8933,567,659,0.2883156297420334,0.3350970017636684,0.3099510603588907,0.7738189050245787,0.2598999009430689
standard,year_2025,top5_native_0_5,top5,actual_top5,p_top5_raw,0.5,native_0_5,8869,272,1206,0.12106135986733002,0.5367647058823529,0.1975642760487145,0.8134121684034786,0.1890425930301247
standard,year_2025,top10_native_0_5,top10,actual_top10,p_top10_raw,0.5,native_0_5,8869,537,1499,0.1941294196130754,0.5418994413407822,0.28585461689587427,0.7806621126419333,0.22298147751244848
standard,year_2025,top20_native_0_5,top20,actual_top20,p_top20_raw,0.5,native_0_5,8869,1070,1847,0.29399025446670274,0.5074766355140187,0.3723003085361673,0.7523945677195615,0.3239016852963875
standard,year_2025,frank_hall_top10_native_0_5,top10,actual_top10,score_topk_raw_sum,0.5,native_0_5,8869,537,4958,0.09580475998386447,0.8845437616387337,0.17288444040036396,0.7884901807752928,0.23525474653305822
standard,year_2025,frank_hall_top10_validated_threshold,top10,actual_top10,score_topk_raw_sum,2.1,optimized_valid_2023_f1,8869,537,573,0.26527050610820246,0.28305400372439476,0.27387387387387385,0.7884901807752928,0.23525474653305822
thinking_medium_roc_auc,overall,top5_native_0_5,top5,actual_top5,p_top5_raw,0.5,native_0_5,17802,556,2409,0.1232876712328767,0.5341726618705036,0.20033726812816188,0.8002505220687187,0.18993540080048238
thinking_medium_roc_auc,overall,top10_native_0_5,top10,actual_top10,p_top10_raw,0.5,native_0_5,17802,1104,2965,0.19190556492411467,0.5153985507246377,0.2796755959695257,0.7765396163907506,0.23193204896592515
thinking_medium_roc_auc,overall,top20_native_0_5,top20,actual_top20,p_top20_raw,0.5,native_0_5,17802,2205,3791,0.30308625692429436,0.5210884353741496,0.38325550366911276,0.7586309332991387,0.3554316119024967
thinking_medium_roc_auc,overall,frank_hall_top10_native_0_5,top10,actual_top10,score_topk_raw_sum,0.5,native_0_5,17802,1104,10299,0.09496067579376638,0.8858695652173914,0.1715338068929229,0.7802647327372365,0.2380443745838492
thinking_medium_roc_auc,overall,frank_hall_top10_validated_threshold,top10,actual_top10,score_topk_raw_sum,2.1,optimized_valid_2023_f1,17802,1104,1290,0.2596899224806202,0.30344202898550726,0.27986633249791143,0.7802647327372365,0.2380443745838492
thinking_medium_roc_auc,year_2024,top5_native_0_5,top5,actual_top5,p_top5_raw,0.5,native_0_5,8933,284,1189,0.12531539108494533,0.5246478873239436,0.2023082145281738,0.7901813121764464,0.19753269791996841
thinking_medium_roc_auc,year_2024,top10_native_0_5,top10,actual_top10,p_top10_raw,0.5,native_0_5,8933,567,1521,0.19592373438527286,0.5255731922398589,0.28544061302681994,0.7718250279012093,0.23946845318126744
thinking_medium_roc_auc,year_2024,top20_native_0_5,top20,actual_top20,p_top20_raw,0.5,native_0_5,8933,1135,1915,0.30861618798955615,0.520704845814978,0.38754098360655737,0.7593818250020055,0.3686880777972411
thinking_medium_roc_auc,year_2024,frank_hall_top10_native_0_5,top10,actual_top10,score_topk_raw_sum,0.5,native_0_5,8933,567,5230,0.09598470363288719,0.8853615520282186,0.17319303087804036,0.7732301020212408,0.24363011664269196
thinking_medium_roc_auc,year_2024,frank_hall_top10_validated_threshold,top10,actual_top10,score_topk_raw_sum,2.1,optimized_valid_2023_f1,8933,567,672,0.2648809523809524,0.31393298059964725,0.28732849071832123,0.7732301020212408,0.24363011664269196
thinking_medium_roc_auc,year_2025,top5_native_0_5,top5,actual_top5,p_top5_raw,0.5,native_0_5,8869,272,1220,0.12131147540983607,0.5441176470588235,0.19839142091152814,0.810978864036018,0.19102266829434222
thinking_medium_roc_auc,year_2025,top10_native_0_5,top10,actual_top10,p_top10_raw,0.5,native_0_5,8869,537,1444,0.18767313019390583,0.5046554934823091,0.2735991923271075,0.7817489904529976,0.22811383472022695
thinking_medium_roc_auc,year_2025,top20_native_0_5,top20,actual_top20,p_top20_raw,0.5,native_0_5,8869,1070,1876,0.2974413646055437,0.5214953271028038,0.3788187372708758,0.7575937725061803,0.3415006856487702
thinking_medium_roc_auc,year_2025,frank_hall_top10_native_0_5,top10,actual_top10,score_topk_raw_sum,0.5,native_0_5,8869,537,5069,0.0939041231012034,0.8864059590316573,0.1698180520870496,0.7874817512701473,0.2381032341027059
thinking_medium_roc_auc,year_2025,frank_hall_top10_validated_threshold,top10,actual_top10,score_topk_raw_sum,2.1,optimized_valid_2023_f1,8869,537,618,0.2540453074433657,0.29236499068901306,0.27186147186147186,0.7874817512701473,0.2381032341027059
